Country,Year,GDP,Population,Urban_Population,Electricity_Access,Urban_Electricity_Acess,Brightness,UPC,EAC,BC,int_B_UP,int_B_EA,int_UP_EA,int_ALL
Belgium,2022,27.10919996,16.2734066,16.25476394,4.615120517,4.615120517,13.78289406,0.6390489400000003,0.2232045170000001,1.56644906,1.001037611356997,0.3496385058424042,0.14263860999206213,0.22343611654177234
Belgium,2023,27.19217929,16.28254376,16.26426779,4.615120517,4.615120517,13.57480423,0.6485527900000019,0.2232045170000001,1.3583592299999996,0.880967668438754,0.30319191584464195,0.14475991224095291,0.19663596292648833
Belize,2019,21.59384765,12.86315214,12.08370725,4.540098189,4.600157644,9.510339635,-3.53200775,0.1481821889999999,-2.706105365000001,9.557985121496582,-0.40099661665034386,-0.5233806399599644,1.4163231577327935
Belize,2020,21.43761173,12.87598446,12.10000077,4.582924577,4.598145571,9.540349103,-3.5157142300000004,0.19100857699999985,-2.6760958969999997,9.408388425927514,-0.5111572692015081,-0.6715315722109503,1.7970828850996832
Belize,2021,21.60726062,12.88751914,12.11535441,4.592084946,4.599152114,9.56723784,-3.5003605899999997,0.2001689459999998,-2.6492071599999996,9.273180337609823,-0.5302890049528527,-0.7006634899202373,1.8562027342472802
Belize,2022,21.76942627,12.90603157,12.13807749,4.601162165,4.599152114,9.62874015,-3.477637509999999,0.2092461649999997,-2.5877048499999997,8.99909945116892,-0.5414673160143995,-0.727682312227648,1.8830270486106988
Belize,2023,21.84391681,12.9266088,12.16321212,4.611152258,4.613138356,9.767826998,-3.452502879999999,0.21923625799999957,-2.448618002,8.453860703924843,-0.5368258480299154,-0.7569138121454213,1.8533927863817248
Benin,2019,23.38991654,16.35921711,15.62234795,3.713572067,4.192680463,10.15951644,0.006632950000000193,-0.6783439330000003,-2.0569285599999994,-0.013643504292052392,1.3953050092904267,-0.004499421390392483,0.009254988361373204
Benin,2020,23.47383548,16.38584309,15.66048262,3.737669618,4.206184044,10.32933825,0.04476762000000001,-0.6542463820000002,-1.887106750000001,-0.08448127788343505,1.2346327636352794,-0.029289053415750853,0.055271570401974016
Benin,2021,23.59627007,16.41176611,15.69784477,3.761200116,4.219507705,10.5152518,0.08212976999999988,-0.6307158840000002,-1.7011932000000005,-0.13971860624156385,1.0729695729927895,-0.05180055048826662,0.08812274424689588
Benin,2022,23.5798364,16.4372402,15.73472936,4.051784948,4.278054044,10.57768742,0.11901435999999954,-0.34013105200000027,-1.63875758,-0.19503568457884807,0.5573923396583746,-0.04048047946990659,0.0663376925733438
Benin,2023,23.70266795,16.46246767,15.77131856,4.060443011,4.266896327,10.59862738,0.15560355999999942,-0.3314729889999999,-1.6178176200000003,-0.25173818110272633,0.5362628421582661,-0.05157837713224063,0.08344440733554398
Bhutan,2019,21.72964718,13.54740233,12.67062394,4.615120517,4.615120517,8.981139326,-2.9450910599999993,0.2232045170000001,-3.235305674000001,9.528269816864675,-0.7221348403125301,-0.6573576275683182,2.126752862318959
Bhutan,2020,21.62245286,13.55415488,12.69415254,4.615120517,4.615120517,8.923167545,-2.9215624600000005,0.2232045170000001,-3.293277455,9.621515782892342,-0.7350744036902646,-0.6521059377696322,2.1475657831283628
Bhutan,2021,21.74168092,13.56118976,12.71740714,4.615120517,4.615120517,8.904894222,-2.898307859999999,0.2232045170000001,-3.311550778000001,9.597893648666515,-0.7391530919244648,-0.6469154060086038,2.142293216067978
Bhutan,2022,21.78736526,13.56822159,12.74008047,4.615120517,4.615120517,9.043452076,-2.8756345299999992,0.2232045170000001,-3.1729929240000008,9.124368015700066,-0.7082263530458383,-0.6418546163371721,2.0366001558745825
Bhutan,2023,,13.57520305,12.76214789,4.615120517,4.615120517,9.365151799,-2.85356711,0.2232045170000001,-2.8512932010000007,8.136356499340222,-0.6364215217545893,-0.6369290685146362,1.8160715225750457
